0.00	3.62
0.08	3.61
0.17	3.59
0.25	3.56
0.33	3.53
0.42	3.51
0.50	3.47
0.58	3.44
0.67	3.38
0.75	3.29
0.83	3.20
0.92	3.11
1.00	3.04
1.08	2.97
1.17	2.91
1.25	2.85
1.33	2.81
1.42	2.77
1.50	2.73
1.58	2.71
1.67	2.70
1.75	2.71
1.83	2.71
1.92	2.72
2.00	2.71
2.08	2.71
2.17	2.71
2.25	2.71
2.33	2.70
2.42	2.69
2.50	2.69
2.58	2.70
2.67	2.72
2.75	2.73
2.83	2.75
2.92	2.77
3.00	2.79
3.08	2.80
3.17	2.83
3.25	2.85
3.33	2.88
3.42	2.90
3.50	2.90
3.58	2.90
3.67	2.90
3.75	2.90
3.83	2.90
3.92	2.91
4.00	2.94
4.08	2.96
4.17	2.95
4.25	2.93
4.33	2.91
4.42	2.90
4.50	2.88
4.58	2.85
4.67	2.84
4.75	2.82
4.83	2.80
4.92	2.76
5.00	2.71
5.08	2.68
5.17	2.66
5.25	2.64
5.33	2.62
5.42	2.60
5.50	2.58
5.58	2.56
5.67	2.54
5.75	2.52
5.83	2.49
5.92	2.47
6.00	2.44
6.08	2.42
6.17	2.41
6.25	2.40
6.33	2.40
6.42	2.40
6.50	2.41
6.58	2.41
6.67	2.41
6.75	2.41
6.83	2.41
6.92	2.41
7.00	2.42
7.08	2.42
7.17	2.41
7.25	2.40
7.33	2.39
7.42	2.38
7.50	2.36
7.58	2.35
7.67	2.34
7.75	2.32
7.83	2.31
7.92	2.30
8.00	2.29
8.08	2.28
8.17	2.28
8.25	2.28
8.33	2.28
8.42	2.30
8.50	2.33
8.58	2.35
8.67	2.39
8.75	2.45
8.83	2.51
8.92	2.59
9.00	2.70
9.08	2.82
9.17	2.96
9.25	3.11
9.33	3.27
9.42	3.43
9.50	3.59
9.58	3.76
9.67	3.93
9.75	4.09
9.83	4.25
9.92	4.42
10.00	4.57
10.08	4.70
10.17	4.80
10.25	4.91
10.33	5.00
10.42	5.09
10.50	5.17
10.58	5.26
10.67	5.34
10.75	5.41
10.83	5.46
10.92	5.51
11.00	5.56
11.08	5.60
11.17	5.64
11.25	5.68
11.33	5.71
11.42	5.76
11.50	5.80
11.58	5.85
11.67	5.91
11.75	5.99
11.83	6.07
11.92	6.15
12.00	6.24
12.08	6.36
12.17	6.49
12.25	6.62
12.33	6.74
