0.00	2.42
0.08	2.42
0.17	2.45
0.25	2.46
0.33	2.47
0.42	2.47
0.50	2.45
0.58	2.44
0.67	2.43
0.75	2.43
0.83	2.42
0.92	2.38
1.00	2.35
1.08	2.32
1.17	2.28
1.25	2.22
1.33	2.16
1.42	2.10
1.50	2.06
1.58	2.02
1.67	1.99
1.75	1.95
1.83	1.91
1.92	1.90
2.00	1.91
2.08	1.91
2.17	1.94
2.25	1.99
2.33	2.04
2.42	2.09
2.50	2.13
2.58	2.17
2.67	2.22
2.75	2.27
2.83	2.30
2.92	2.32
3.00	2.32
3.08	2.31
3.17	2.30
3.25	2.29
3.33	2.27
3.42	2.24
3.50	2.22
3.58	2.20
3.67	2.17
3.75	2.15
3.83	2.12
3.92	2.10
4.00	2.08
4.08	2.07
4.17	2.06
4.25	2.06
4.33	2.06
4.42	2.05
4.50	2.05
4.58	2.07
4.67	2.09
4.75	2.11
4.83	2.13
4.92	2.15
5.00	2.16
5.08	2.16
5.17	2.15
5.25	2.14
5.33	2.14
5.42	2.14
5.50	2.14
5.58	2.12
5.67	2.10
5.75	2.08
5.83	2.06
5.92	2.05
6.00	2.04
6.08	2.03
6.17	2.03
6.25	2.03
6.33	2.02
6.42	2.01
6.50	2.00
6.58	1.99
6.67	1.98
6.75	1.98
6.83	1.97
6.92	1.97
7.00	1.97
7.08	1.97
7.17	1.98
7.25	1.99
7.33	2.00
7.42	2.01
7.50	2.02
7.58	2.03
7.67	2.04
7.75	2.04
7.83	2.05
7.92	2.05
8.00	2.05
8.08	2.05
8.17	2.02
8.25	2.00
8.33	1.98
8.42	1.96
8.50	1.94
8.58	1.93
8.67	1.92
8.75	1.92
8.83	1.94
8.92	2.00
9.00	2.09
9.08	2.22
9.17	2.38
9.25	2.57
9.33	2.81
9.42	3.08
9.50	3.39
9.58	3.72
9.67	4.07
9.75	4.45
9.83	4.82
9.92	5.18
10.00	5.53
10.08	5.87
10.17	6.20
10.25	6.52
10.33	6.81
10.42	7.09
10.50	7.36
10.58	7.62
10.67	7.87
10.75	8.11
10.83	8.33
10.92	8.54
11.00	8.76
11.08	8.96
11.17	9.16
11.25	9.35
11.33	9.53
11.42	9.70
11.50	9.85
11.58	10.00
11.67	10.14
11.75	10.27
11.83	10.41
11.92	10.53
12.00	10.65
12.08	10.76
12.17	10.86
12.25	10.95
12.33	11.05
12.42	11.17
12.50	11.29
12.58	11.40
12.67	11.50
12.75	11.62
12.83	11.73
12.92	11.84
13.00	11.95
13.08	12.07
13.17	12.18
13.25	12.30
13.33	12.42
13.42	12.53
13.50	12.64
13.58	12.74
13.67	12.86
13.75	12.97
13.83	13.09
13.92	13.20
14.00	13.32
14.08	13.44
14.17	13.56
14.25	13.69
14.33	13.81
14.42	13.94
14.50	14.07
14.58	14.21
14.67	14.34
14.75	14.49
14.83	14.64
14.92	14.79
15.00	14.94
15.08	15.07
15.17	15.18
15.25	15.28
15.33	15.37
15.42	15.47
15.50	15.56
15.58	15.64
15.67	15.70
15.75	15.69
15.83	15.66
15.92	15.63
16.00	15.59
16.08	15.55
16.17	15.50
16.25	15.45
16.33	15.37
16.42	15.25
16.50	15.12
16.58	14.99
16.67	14.87
16.75	14.80
16.83	14.76
16.92	14.72
17.00	14.69
17.08	14.68
17.17	14.65
17.25	14.64
17.33	14.65
17.42	14.69
17.50	14.74
17.58	14.80
17.67	14.89
17.75	14.97
17.83	15.05
17.92	15.14
18.00	15.20
18.08	15.25
18.17	15.30
18.25	15.34
18.33	15.36
18.42	15.37
18.50	15.37
18.58	15.33
18.67	15.23
18.75	15.11
18.83	14.96
18.92	14.81
19.00	14.67
19.08	14.52
19.17	14.38
19.25	14.25
19.33	14.13
19.42	14.02
19.50	13.92
19.58	13.83
19.67	13.77
19.75	13.75
19.83	13.73
19.92	13.72
20.00	13.72
20.08	13.73
20.17	13.71
20.25	13.68
20.33	13.65
20.42	13.61
20.50	13.57
20.58	13.53
20.67	13.46
20.75	13.35
20.83	13.23
20.92	13.09
21.00	12.93
21.08	12.76
21.17	12.60
21.25	12.43
21.33	12.25
21.42	12.06
21.50	11.83
21.58	11.60
21.67	11.38
21.75	11.18
21.83	10.97
21.92	10.75
22.00	10.54
22.08	10.33
22.17	10.11
22.25	9.88
22.33	9.65
22.42	9.43
22.50	9.23
22.58	9.01
22.67	8.78
22.75	8.54
22.83	8.30
22.92	8.06
23.00	7.82
23.08	7.60
23.17	7.39
23.25	7.18
23.33	6.98
23.42	6.77
23.50	6.55
23.58	6.37
23.67	6.23
23.75	6.13
23.83	6.07
23.92	6.06
0.00	4.05
0.08	4.04
0.17	4.02
0.25	4.01
0.33	3.98
0.42	3.93
0.50	3.86
0.58	3.79
0.67	3.73
0.75	3.67
0.83	3.58
0.92	3.51
1.00	3.43
1.08	3.35
1.17	3.25
1.25	3.15
1.33	3.05
1.42	2.98
1.50	2.90
1.58	2.83
1.67	2.76
1.75	2.70
1.83	2.67
1.92	2.64
2.00	2.62
2.08	2.61
2.17	2.63
2.25	2.65
2.33	2.67
2.42	2.68
2.50	2.69
2.58	2.71
2.67	2.72
2.75	2.73
2.83	2.72
2.92	2.70
3.00	2.67
3.08	2.65
3.17	2.63
3.25	2.61
3.33	2.58
3.42	2.56
3.50	2.54
3.58	2.52
3.67	2.51
3.75	2.49
3.83	2.47
3.92	2.46
4.00	2.45
4.08	2.44
4.17	2.44
4.25	2.44
4.33	2.43
4.42	2.43
4.50	2.45
4.58	2.48
4.67	2.51
4.75	2.54
4.83	2.56
4.92	2.58
5.00	2.60
5.08	2.60
