0.00	4.58
0.08	4.57
0.17	4.55
0.25	4.52
0.33	4.49
0.42	4.44
0.50	4.40
0.58	4.34
0.67	4.29
0.75	4.23
0.83	4.17
0.92	4.11
1.00	4.05
1.08	3.99
1.17	3.93
1.25	3.88
1.33	3.82
1.42	3.76
1.50	3.71
1.58	3.66
1.67	3.61
1.75	3.57
1.83	3.53
1.92	3.49
2.00	3.46
2.08	3.43
2.17	3.39
2.25	3.34
2.33	3.29
2.42	3.25
2.50	3.21
2.58	3.17
2.67	3.15
2.75	3.14
2.83	3.14
2.92	3.13
3.00	3.12
3.08	3.12
3.17	3.12
3.25	3.12
3.33	3.13
3.42	3.14
3.50	3.14
3.58	3.13
3.67	3.10
3.75	3.06
3.83	3.02
3.92	2.98
4.00	2.95
4.08	2.91
4.17	2.88
4.25	2.84
4.33	2.81
4.42	2.77
4.50	2.74
4.58	2.71
4.67	2.68
4.75	2.65
4.83	2.62
4.92	2.58
5.00	2.54
5.08	2.51
5.17	2.48
5.25	2.45
5.33	2.43
5.42	2.40
5.50	2.37
5.58	2.33
5.67	2.29
5.75	2.27
5.83	2.27
5.92	2.26
6.00	2.26
6.08	2.26
6.17	2.27
6.25	2.27
6.33	2.28
6.42	2.29
6.50	2.31
6.58	2.33
6.67	2.34
6.75	2.33
6.83	2.32
6.92	2.31
7.00	2.30
7.08	2.29
7.17	2.27
7.25	2.26
7.33	2.25
7.42	2.23
7.50	2.22
7.58	2.22
7.67	NaN
7.75	NaN
7.83	NaN
7.92	NaN
8.00	NaN
8.08	NaN
8.17	NaN
8.25	NaN
8.33	NaN
8.42	NaN
8.50	NaN
8.58	2.20
8.67	2.18
8.75	2.16
8.83	2.14
8.92	2.12
9.00	2.10
9.08	2.09
9.17	2.08
9.25	2.08
9.33	2.10
9.42	2.12
9.50	2.17
9.58	2.23
9.67	2.31
9.75	2.42
9.83	2.56
9.92	2.70
10.00	2.86
10.08	3.05
10.17	3.24
10.25	3.44
10.33	3.64
10.42	3.83
